target,model,best_params,cv_best_MAE,cv_fits,search_seconds,MAE,RMSE,R2,DirectionalAccuracy,rank_by_MAE
close_return,dummy_mean,{'strategy': 'mean'},,1,0.0,0.005994211526452343,0.008217058457971788,-0.00023646840968916116,0.5236329935125116,1.0
close_return,lasso,"{'imputer__strategy': 'median', 'model__alpha': 0.001, 'scaler': StandardScaler(), 'variance__threshold': 0.0}",0.009575809120158131,5,13.849713802337646,0.005994211526452343,0.008217058457971788,-0.00023646840968916116,0.5236329935125116,1.0
close_return,elasticnet,"{'imputer__strategy': 'median', 'model__alpha': 0.001, 'model__l1_ratio': 0.5, 'scaler': PowerTransformer(), 'variance__threshold': 0.0}",0.009559949458032369,5,19.99114203453064,0.0060018062043967774,0.008237310295463537,-0.005172928056100812,0.5078776645041705,3.0
close_return,ridge,"{'imputer__strategy': 'median', 'model__alpha': 20, 'scaler': MinMaxScaler(), 'variance__threshold': 0.0}",0.016797042079147742,10,28.722872734069824,0.006035920639065325,0.008276703964821693,-0.014810087009339501,0.5171455050973123,4.0
close_return,huber,"{'imputer__strategy': 'median', 'model__alpha': 0.001, 'model__epsilon': 1.35, 'scaler': PowerTransformer(), 'variance__threshold': 0.0}",0.026378440298535307,5,147.2943480014801,0.00617937767940153,0.00848146935783386,-0.06564395638085796,0.4995366079703429,5.0
close_return,svr,"{'imputer__strategy': 'median', 'model__C': 1, 'model__epsilon': 0.01, 'model__gamma': 'scale', 'scaler': StandardScaler(), 'variance__threshold': 0.0}",0.01083572529759441,10,56.81777000427246,0.007408765965964733,0.00988634632228985,-0.44791001223353266,0.5189990732159406,6.0
open_return,ridge,"{'imputer__strategy': 'median', 'model__alpha': 20, 'scaler': MinMaxScaler(), 'variance__threshold': 0.0}",0.005590773333258747,10,29.249213218688965,0.0035131379073340754,0.005723535380347703,-0.023374302217387344,0.5987025023169601,1.0
open_return,dummy_mean,{'strategy': 'mean'},,1,0.0,0.0035273246736740255,0.0057419846523009055,-0.02998243489074537,0.6024096385542169,2.0
open_return,lasso,"{'imputer__strategy': 'median', 'model__alpha': 0.001, 'scaler': MinMaxScaler(), 'variance__threshold': 0.0}",0.003935408991498379,5,13.86939263343811,0.0035273246736740255,0.0057419846523009055,-0.02998243489074537,0.6024096385542169,2.0
open_return,elasticnet,"{'imputer__strategy': 'median', 'model__alpha': 0.001, 'model__l1_ratio': 0.5, 'scaler': MinMaxScaler(), 'variance__threshold': 0.0}",0.003935408991498379,5,13.882837295532227,0.0035273246736740255,0.0057419846523009055,-0.02998243489074537,0.6024096385542169,2.0
open_return,huber,"{'imputer__strategy': 'median', 'model__alpha': 0.001, 'model__epsilon': 1.35, 'scaler': RobustScaler(), 'variance__threshold': 0.0}",0.006944147667140889,5,128.41061115264893,0.0037127542910251636,0.005879245527410045,-0.0798140117840287,0.58758109360519,5.0
open_return,svr,"{'imputer__strategy': 'median', 'model__C': 1, 'model__epsilon': 0.01, 'model__gamma': 'scale', 'scaler': RobustScaler(), 'variance__threshold': 0.0}",0.004375286672703986,10,35.84261751174927,0.0038337665236899696,0.00591627728274438,-0.09345975696121966,0.505097312326228,6.0
